Legal Location (W6),Land Use,2012 PCMP Recommendation(s),2013 PCRM Assessment and Work Completed,2014 PCRM Assessment and Work Completed,2015 PCRM Assessment and Work Completed,2016 PCRM Assessment and Work Completed,VEC,GIS,Topic
NE 2-68-7,Treed,None.,,"• <s>June 12, 2014: </s><s>• </s>Vegetation establishment 90-95% comparable to off ROW for majority of tract - excessive Horsetail dominance on ditchline compared to on ROW <s>• </s>Areas of sparse vegetation cover (60-65%) compared to off ROW control. Continue to monitor. <s>• </s>No issues with contouring, erosion or subsidence within tract. • <s>June 24, 2014 – herbicide application conducted between </s>KP 4+875 and 5+600 to control Canada thistle and perennial sow thistle. • <s>July 22, 2014: </s><s>• </s>KP 5+065 and KP 5+550 – weeds identified, Canada thistle and perennial sow thistle <s>• </s>Broadleaf vegetation within areas of herbicide application exhibit significant wilting, thorough affects within areas treated. Grasses do not indicate stressing. • <s>July 29, 2014 – Previously identified Canada thistle at KP </s>5+065, 5+200, and 5+550 were controlled mechanically.  • <s>September 18, 2014 – intermittent herbicide application </s>conducted to control Canada thistle.","• <s>May 31, 2015: </s><s>• </s>Vegetation establishment 90-95% comparable to off ROW control for majority of tract - excessive Horsetail dominance on ditchline. Areas of sparse vegetation no longer noted, issue resolved. <s>• </s>No issues with contouring, erosion or subsidence within tract. <s>• </s>No Noxious weeds were identified on this tract. • <s>August 31, 2015 – A patch of Perennial Sow thistle located </s>at KP 5+050 and 5+450. Recommend fall herbicide application. • <s>September 21, 2015 – Intermittent herbicide application </s>conducted to control perennial sow thistle.","• <s>June 13, 2016: </s><s>• </s>Good establishment of brome, American vetch, willows and aspen; consistent with off right of way. <s>• </s>One patch of Perennial sow thistle identified at 5+070. • <s>July 7, 2016: </s>• herbicide application conducted (spot spraying) to control perennial sow thistle at KP 5+070. <s>• </s>Recent NGTL pipeline construction has disturbed the majority of the south portion of the right of way. This disturbed area will be monitored as a part of that pipeline’s PCM program. • <s>August 13, 2016: </s>• Intermittent perennial sow thistle observed from KP 5+050 to 5+540. Herbicide application conducted to control. <s>• </s>Canada thistle no longer present, issue resolved.",,,
SE 2-68-7,Treed,None.,,"• <s>June 12, 2014: </s><s>• </s>Vegetation establishment 80-85% comparable to off ROW control with excessive Horsetail dominance  <s>• </s>Several sections along ROW with woody debris present. Good vegetation establishment proliferating around areas.  <s>• </s>No issues with contouring, erosion or subsidence. • <s>June 24, 2014 – herbicide application conducted between </s>KP 5+600 and 6+150 to control Canada thistle and perennial sow thistle. • <s>July 22, 2014 – broadleaf vegetation within areas of </s>herbicide application exhibit significant wilting. Grasses do not indicate stressing.","• <s>May 31, 2015: </s><s>• </s>Vegetation establishment ~90% comparable to off ROW control with excessive Horsetail dominance as assessed previous years.  <s>• </s>Some sections along ROW with woody debris present, not inhibiting the recovery of the ROW as there is good vegetation establishment around areas.  <s>• </s>No contour, erosion or subsidence issues within tract. <s>• </s>KP 5+620 - Perennial sow thistle identified in a small isolated patch. Recommend herbicide application. • <s>July 9, 2015 – Intermittent herbicide application conducted </s>to control perennial sow thistle from KP 5+800 to 6+150. • <s>August 31, 2015 – Previous herbicide application </s>throughout this tract appears successful. Visible signs of health degradation were noted in target species.","• <s>June 13, 2016: </s><s>• </s>Recent NGTL pipeline construction has disturbed the majority of the east portion of the right of way. This disturbed area will be monitored as a part of that pipeline’s PCM program. <s>• </s>Good establishment of brome, American vetch and willows – comparable to off right of way. Previous dominance of horsetail, no longer noted, issue resolved. <s>• </s>A patch of Perennial sow thistle was identified at KP 5+970 and KP 6+185. Canada thistle located at KP 6+175. • <s>July 7, 2016 herbicide application conducted (spot </s>spraying) to control perennial sow thistle at KP 5+970 and KP 6+185 and Canada thistle at KP 6+175. • <s>August 13, 2016: </s>• Intermittent meadow hawkweed and perennial sow thistle observed throughout ¼. Several patches of Canada thistle. Herbicide application (spot spraying) conducted to control. <s>• </s>Although still present, substantial progress in controlling Canada thistle, which was reduced from affecting 600 meter to several patches at the end of 2016.",,,
SW 2-68-7,Treed,None.,,"• <s>June 12, 2014 – 90-100% vegetation cover to off ROW. </s>Willows re-establishing well on ROW 1m – 1.5m tall. No issues with subsidence or erosion in this ¼. • <s>June 24, 2014 – herbicide application conducted between </s>KP 6+150 and 6+675 to control Canada thistle and perennial sow thistle. • <s>July 22, 2014 – KP 6+480 - a small patch of perennial sow </s>thistle exists along ditchline, not identified at time of herbicide application - broadleaf vegetation within areas of herbicide application exhibit significant wilting. Grasses do not indicate stressing. • <s>July 29, 2014 – perennial sow thistle identified at KP 6+300, </s>controlled mechanically","• <s>May 31, 2015: </s>• 90-100% vegetation cover to off ROW control <s>• </s>No contour, erosion or subsidence issues within tract. • <s>August 31, 2015 – Patches of perennial sow thistle were </s>identified from KP 6+200 and 6+500. Recommend fall herbicide application. • <s>September 21, 2015 – Intermittent herbicide application </s>conducted to control perennial sow thistle from KP 6+200 to 6+500.","• <s>June 13, 2016:  </s><s>• </s>Vegetation is well established and comparable to off ROW. Vetch, grasses, clover, willows and shrubs are present. <s>• </s>Recent NGTL pipeline construction has disturbed the majority of the east portion of the right of way. This disturbed area will be monitored as a part of that pipeline’s PCM program. <s>• </s>Perennial sow thistle observed at KP 6+300 and 6+400 to end of ¼. • <s>July 7, 2016 – herbicide application conducted (spot </s>spraying) to control perennial sow thistle at KP 6+300 and KP 6+400 to end of ¼. • <s>August 13, 2016 – Intermittent perennial sow thistle </s>observed throughout ¼. Herbicide application (spot spraying) conducted to control.",,,
NW 35-67-7,Treed,"Monitor vegetation growth in 2013 and, if warranted, redistribute woody debris.",,"• <s>June 12, 2014:  </s>• 90-100% vegetation cover compared to off ROW control.  <s>• </s>Some small areas of moderate vegetation on ditch line - 70% vegetation cover. Continue to monitor. <s>• </s>Poor vegetation establishment (woody debris) in previous assessments are re-vegetating but are still a little behind other areas of ROW.  <s>• </s>KP 6+900, Erosion rill along east side of ditch line. Recommend re-contouring and installing cross drain to drain water into existing bar ditch paralleling road on west side of ROW. <s>• </s>KP 6+930, isolated patch of perennial sow thistle. Recommend spot spraying with chemical herbicide. <s>• </s>KP 7+110, new foreign pipeline recently installed crossing line. Area of crossing is in need of some clean up by foreign company. Ramped crossing is still in place and there is significant subsidence above TCPL line about 30-40cm deep and water has pooled in the subsidence.  <s>• </s>Cross drains on south side of Weyerhaeuser road are functioning well. • <s>June 24, 2014 – herbicide application conducted between </s>KP 6+675 and 7+475 to control Canada thistle and perennial sow thistle • <s>July 13, 2014 – erosion control materials installed at </s>previously noted erosion within tract at KP 6+900 to KP 6+950. Deep rivets from erosion were also filled in with soil and re-contoured appropriately. • <s>July 22, 2014: </s><s>• </s>KP 6+850, 6+920, 7+290, and 7+360 - small patches of perennial sow thistle exist, not identified at time of herbicide application. <s>• </s>Broadleaf vegetation within areas of herbicide application exhibit significant wilting. Grasses do not indicate stressing. <s>• </s>KP 7+120 – recent foreign pipeline crossing activity has not been cleaned up. • <s>July 29, 2014 - Previously identified perennial sow thistle at </s>6+850, 6+920, 7+290, and 7+360 was controlled mechanically.  • <s>September 18, 2014 – intermittent herbicide application </s>conducted to control Canada Thistle.","• <s>June 1, 2015: </s><s>• </s>Vegetation is 90% comparable to off ROW control. <s>• </s>There’s a corduroyed access across the ditch line at 6+577. <s>• </s>Perennial sow thistle was observed from 6+827 to 6+855. Recommend weed control measures. <s>• </s>Erosion was noted following ditch line from 6+898 to 6+936. Previously mitigated with straw wattles but they are no longer effective. <s>• </s>There is third party disturbance at 7+080. Organic soil has been stockpiled on the ROW and there is a rig mat with ponding water sitting on ditch line. • <s>June 18, 2015 – KP 7+110; Issue previously reported in </s>2014 and 2015 assessments of matting left and mounding of soil is from 2 separate occasions one in 13/14 winter and one in 14/15 winter (confirmed with region) and are anticipated to be cleaned up this year.  • <s>July 9, 2015 – Intermittent herbicide application to control </s>perennial sow thistle and Canada thistle from KP 6+675 to 7+475. • <s>August 21, 2015 – Installed four wattles for erosion control </s>from KP 6+910 to 6+925. The remaining length was well vegetated. • <s>August 31, 2015 – Previous herbicide application </s>throughout this tract appears successful. Visible signs of health degradation were noted in target species.","• <s>June 13, 2016:  </s><s>• </s>Vegetation is well established and comparable to off ROW. Vetch, grasses, clover, willows and shrubs are present. Vegetation issue noted in 2012 no longer evident, issue resolved. Coarse fragments (woody debris) noted in 2012 no longer evident and did not impede the recovery of the ROW, issue resolved. <s>• </s>Perennial Sow thistle intermittent throughout tract. Recommend herbicide application.  • <s>July 13, 2016: </s>• herbicide application conducted (spot spraying) to control perennial sow thistle throughout ¼. <s>• </s>Previously repaired erosion at KP 6+898 to 6+936 (noted as KP 6+900 in 2014) has established vegetation and erosion breakers functioning effectively, issue resolved. • 3rd party disturbance at KP 7+110 (2014 and 2015) and 6+577 (2015), no longer evident, issues resolved. <s>• </s>Cross drains functioning.  • <s>August 13, 2016 – Intermittent perennial sow thistle </s>observed throughout ¼. Herbicide application (spot spraying) conducted to control.",,,
SW 35-67-7,Treed,"Monitor vegetation growth in 2013 and, if warranted, redistribute woody debris.",,"• <s>June 13, 2014: </s>• 90-100% vegetation cover to off ROW.  <s>• </s>Areas of woody debris mentioned in previous assessments has moderate vegetation growth compared to off ROW control, however vegetation is establishing well. <s>• </s>No weeds noted at time of assessment.  <s>• </s>KP 7+600, depression off ditch line causing water to pool.  <s>• </s>KP 8+000, minor erosion rill near cross drain, however rill is vegetating. Continue to monitor.  <s>• </s>KP 8+010, ponding on both sides of ditch line at cross drain. Cross drain needs to be dug down and possibly extended to bar ditch on parallel gravel road.","• <s>June1, 2015 </s><s>• </s>Vegetation is 90 - 100% comparable to off of ROW control. <s>• </s>Deciduous species are well established on the ROW. <s>• </s>There’s a corduroyed access across the ditch line at 7+565. <s>• </s>There is ponding west of ditch line at 7+600, 7+800, and 7+980, continue to monitor. <s>• </s>KP 7+800 - erosion, continue to monitor.","• <s>June 13, 2016: </s><s>• </s>Vegetation is well established and comparable to off ROW. Vetch, grasses, clover, willows and shrubs are present. Vegetation issue noted in 2012 no longer evident issue resolved. Coarse fragments (woody debris) noted in 2012 and 2014 no longer evident and did not impede the recovery of the ROW, issue resolved. <s>• </s>Erosion (KP 7+800 and 8+000), depression/ponding (KP 7+600, 7+800, 7+980, and 8+010), and cross drain (KP 8+010) issues are no longer evident, areas are fully vegetated, issues are resolved. • <s>August 13, 2016 – meadow hawkweed patches were </s>observed from KP 7+425 to 8+000. Intermittent perennial sow thistle patches were observed from KP 7+425 to 8+000. Herbicide application (spot spraying) conducted to control.",,,
SW 35-67-7,Tributary to Bald Mountain Creek (WC2),None.,KP 7+800 Removed silt fencing,"• <s>June 13, 2014: </s><s>• </s>Good vegetation on left and right banks.  <s>• </s>Water is ponding on ditch line. There is also ponding up stream due to beaver dams. <s>• </s>There is some erosion coming off the parallel road into the watercourse. Not on ROW, therefore not an issue for the recovery of the ROW.","• <s>August 17, 2015: </s><s>• </s>Drainage entering unnamed Creek from the road from the North causing erosion to the west of ditchline, not impacting the ROW. <s>• </s>On ditchline cobble remains in bed of WC, excellent vegetation establishment on either bank with no signs of erosion or slumping. • <s>August 21, 2015 – Probed the ditch line to ensure that the </s>road runoff has not removed depth of cover. No refusal was encountered - depth of cover remains intact to at least 1.5mbgs, indicating pipe integrity is intact, issue resolved.","• <s>June 13, 2016 – Banks are stable and well </s>vegetated. No erosion noted. Previous ponding (2014), no longer evident, and erosion noted (2014) is well vegetated, issues resolved.",,,
SE 34-67-7,Treed,None.,,"• <s>June 13, 2014:  </s>• 90-100% vegetation cover compared to off ROW control. Willows are growing well on ROW, 1.0-1.5m tall. <s>• </s>KP 8+275, Subsidence on spoil side of roach, minor issue that is not impacting recovery of ROW at this time, continue to monitor.  <s>• </s>No weeds noted at time of assessment.","• <s>June 1, 2015: </s><s>• </s>Vegetation is 95% comparable to off of ROW control. <s>• </s>No signs of subsidence or erosion. Subsidence noted in 2014 at KP 8+275, no longer evident, issue resolved. <s>• </s>There is lathe present on the ROW as a result of recent work adjacent to the ROW, remove in 2016. • <s>September 21, 2015 – Removed lathe from ROW. </s>","• <s>June 13, 2016:  </s><s>• </s>Vegetation is well established and comparable to off ROW. Vetch, grasses, clover, willows and shrubs are present. <s>• </s>Cross drains functioning effectively • <s>August 13, 2016 - No noxious weeds observed. </s>",,,
NE 27-67-7,Treed,None.,,"• <s>June 13, 2014:  </s><s>• </s>Slumping along West side of ditch line, not impacting recovery of ROW, monitor <s>• </s>Multiple drainage ditches functioning effectively throughout tract.  <s>• </s>Erosion noted on South edge of road crossing on ditch line. <s>• </s>Scentless Chamomile was identified at South end of tract. 1 garbage bag full of the weed was picked and bagged. • <s>June 24, 2014 – herbicide application conducted between </s>KP 8+250 and 9+175 to control Canada thistle, perennial sow thistle, and scentless chamomile. • <s>July 22, 2014: </s><s>• </s>Previously sprayed herbicide applied intermittently throughout this tract appears successful. Broad leafed species showing signs of health degradation in the form of wilting and discoloration. Grasses mainly unaffected. <s>• </s>Scentless Chamomile at KP 8+800 to 8+820. Previous remedial efforts did not achieve desired control. Spraying or hand picking is recommended.  • <s>July 28, 2014 – scentless chamomile was handpicked and </s>bagged for disposal within an area previously handpicked, but not previously sprayed. Approximately 1.5 large garbage bags were picked from location. • herbicide application conducted between KP 8+730 and 8+830 to control scentless chamomile.","• <s>June 1, 2015: </s><s>• </s>Vegetation is 95% comparable to off of ROW control. <s>• </s>No signs of subsidence or erosion. Slumping and erosion noted in 2014, no longer evident, issue resolved. <s>• </s>There is lathe present on the ROW as a result of recent work adjacent to the ROW, remove in 2016. • <s>September 21, 2015 – Removed lathe from ROW. </s>","• <s>June 13, 2016: </s><s>• </s>Vegetation is well established and comparable to off ROW. Vetch, grasses, clover, willows and shrubs are present. <s>• </s>Perennial Sow thistle at KP 8+880, recommend herbicide application.  <s>• </s>Scentless Chamomile picked and bagged at KP8+820. Emerging smaller plants noted. Recommend herbicide application. • <s>July 13, 2016 – herbicide application conducted (spot </s>spraying) to control perennial sow thistle at KP 8+880 and scentless chamomile at KP 8+820. • <s>August 14, 2016: </s><s>• </s>No noxious weeds observed.  <s>• </s>Canada thistle no longer present, issue resolved. <s>• </s>Although still present, substantial progress was achieved in the control of scentless chamomile (reduced from 200 m in 2014 to one location in 2016) and perennial sow thistle (reduced from 900 m in 2014 to one location in 2016).",,,
,Tributary to Bald Mountain Creek (WC3),None.,KP 8+400 Removed silt fencing,"• <s>June 13, 2014 – Erosion material is exposed. Good </s>vegetation establishing on banks, 95% compared to off ROW. Some ponding water may be attributed to beaver activity and/or culvert blockage. No erosion or subsidence noted.","• <s>June 1, 2015: </s><s>• </s>Vegetation is 95% comparable to off ROW control. <s>• </s>Banks are well vegetated, defined and stable. <s>• </s>Nearby road ditch run off into the creek is eroding. Recommend continued monitoring.","• <s>June 13, 2016: </s><s>• </s>Banks are stable and well vegetated. Previous erosion noted is well vegetated and no longer an issue. Drainage tie in from road ditch is steep in sections and flows onto and across ROW. Is not a pipe integrity or Land Use concern. Issue resolved.  <s>• </s>No marker posts present on (WC3), recommend installation. • <s>September 13, 2016 – Signs and marker post </s>installed at W3, issue resolved",,,
SE 27-67-7,Treed,Monitor vegetation growth in 2013.,,"• <s>June 14, 2014: </s>• Intermittent drain, ponding water. No flow, good vegetation throughout drainage. <s>• </s>Majority of ROW consists of 90-95% vegetation of control. Woody debris is causing some thinner vegetated patches along ROW, ~60% vegetation cover compared to control. <s>• </s>Cross drains functioning well and vegetation establishing.  • <s>June 24, 2014 – intermittent herbicide application conducted </s>between KP 9+175 and 10+000 to control Canada thistle, perennial sow thistle, and scentless chamomile. • <s>July 22, 2014 – Previously sprayed herbicide applied </s>intermittently throughout this tract appears successful. Broad leafed species within areas sprayed showing signs of health degradation in the form of wilting and discoloration. Grasses mainly unaffected. • <s>September 18, 2014 – intermittent herbicide application </s>conducted to control Canada thistle.","• <s>June 1, 2015: </s>• 90 - 95% vegetation establishment compared to off-ROW. • Intermittent bare patches of soil present along ROW. <s>• </s>Cross drains are functional and well vegetated. <s>• </s>No noxious weeds observed within tract during assessment. • <s>September 21, 2015 – Removed lathe from ROW. </s>","• <s>June 13, 2016: </s><s>• </s>Excellent vegetation established and comparable to off ROW. Vetch, grasses, clover, willows and shrubs are present. Intermittent bare patches, no longer noted, issue resolved. Vegetation cover issue noted in 2012 is resolved. <s>• </s>Cross drains are functioning effectively. • <s>August 14, 2016: </s>• Intermittent meadow hawkweed patches were observed from KP 9+175 to 9+600, Canada thistle from KP 9+175 to 9+600 and perennial sow thistle patches were observed throughout ¼.. Herbicide application conducted to control. <s>• </s>A very small patch of Scentless chamomile was observed at KP 9+600. Chamomile was handpicked and bagged for disposal.",,,
SE 27-67-7,Tributary to Bald Mountain Creek (WC4),None.,"KP 9+600 Minor subsidence - not a concern at this time, monitor in 2014. KP 9+600 Removed silt fencing","• <s>June 14, 2014: </s>• Intermittent watercourse vegetation establishing 60% vegetation as opposed to off ROW. Grasses establishing. Minor slumping North/Right bank ditch line shows some cracking - Synthetic erosion material is exposed.  <s>• </s>Erosion influenced by area of thin vegetation towards East boundary on work side of ditch line, monitor.","• <s>June 1, 2015 – Creek banks at WC4 are stable and in good </s>condition at time of assessment. Previously noted subsidence (KP 9+600 in 2013 and north/right bank in 2014) and erosion (east boundary in 2014), no longer evident, issues resolved.","• <s>June 13, 2016: </s><s>• </s>Banks are stable and well vegetated. Coir banks are stable, excellent willow and shrub establishment.  <s>• </s>No marker posts present on (WC4), recommend installation. • <s>September 13, 2016 – Installed signs and posts at </s>WC4, issue resolved.",,,
NE 22-67-7,Treed,Monitor vegetation growth in 2013.,KP 10+500 – 11+000 Sparse Vegetation - Appears to be an area that was disturbed during final clean-up.  Vegetation has improved from previous site visit – continue to monitor.,"• <s>June 14, 2014: </s><s>• </s>Vegetation on North half of tract 80-90% compared to control off ROW.  <s>• </s>KP 10+090, woody debris within vicinity of workspace has reduced vegetation cover, monitor in 2015. <s>• </s>Cross drains functioning well and vegetation establishing.  • 10+550 to 10+850 (Southern half) remains as previously assessed ~50-60% as opposed to off ROW consisting mainly of clover and weeds. erosion rills across ROW in Southern portion in thinly vegetated areas. Monitor in 2015. • <s>July 12, 2014 – Straw waddle erosion control material was </s>implemented within rill erosion on low-angle hill slope. Rill erosion was filled in with soil to an extent to help prevent further erosion. • <s>September 18, 2014 – intermittent herbicide application </s>conducted control Canada thistle.","• <s>June 1, 2015: </s>• 90% vegetation establishment compared to off-ROW. • Intermittent bare patches of soil present along ROW. Areas of heavy mulch present. <s>• </s>No noxious weeds observed within tract during assessment. • <s>September 21, 2015 – Removed lathe from ROW left from </s>adjacent work earlier in 2015.","• <s>June 13, 2016: </s><s>• </s>Good establishment of brome, American vetch and willows – comparable to off ROW. Previously assessed bare areas and heavy mulch locations are establishing suitable vegetation – issue resolved. Vegetation issues noted in 2012, 2013, and 2014 (including vegetation composition issue noted from KP 10+550 to 10+850) are resolved. <s>• </s>Erosion repair completed in 2014 is no longer evident, issue resolved. <s>• </s>A patch of perennial sow thistle was identified at KP 10+190. • <s>July 13, 2016 – herbicide application conducted (spot </s>spraying) to control perennial sow thistle at KP 10+190. • <s>August 14, 2016: </s><s>• </s>No noxious weeds observed. <s>• </s>Canada thistle no longer present on ROW, issue resolved.",,,
SE 22-67-7,Treed,Monitor vegetation growth in 2013.,KP 10+500 – 11+000 Sparse Vegetation - Appears to be an area that was disturbed during final clean-up.  Vegetation has improved from previous site visit – continue to monitor.,"• <s>June 14, 2014: </s><s>• </s>Vegetation comparable to off ROW, ~90% throughout tract. <s>• </s>Cross drains show some standing water, but are functioning and vegetation is establishing.  <s>• </s>Canada thistle noted, isolated small patch KP 11+490.  <s>• </s>Cross drain functioning but is lower on work side of ditch line developing ponding water. Clean out recommended. KP +11+350 • <s>June 25, 2014 – herbicide application conducted between </s>KP 10+900 and 11+700 to control Canada thistle and perennial sow thistle. • <s>July 22, 2014 - Previously sprayed herbicide applied </s>intermittently throughout this tract appears successful. Broad leafed species showing signs of health degradation in the form of wilting and discoloration. Grasses mainly unaffected. • <s>July 29, 2014 - Previously identified Canada thistle at KP </s>11+490 was controlled mechanically. • <s>September 18, 2014 – intermittent herbicide application </s>conducted to control Canada Thistle.","• <s>June 1, 2015: </s>• 90% vegetation establishment compared to off-ROW. • Intermittent bare patches of soil present along ROW. <s>• </s>Cross drains are functional and well vegetated. <s>• </s>No noxious weeds observed within tract during assessment. • <s>September 21, 2015: </s><s>• </s>Removed lathe from ROW left from adjacent work earlier in 2015. <s>• </s>Cross drain issue at KP 11+350 is no longer evident, issue resolved.","• <s>June 22, 2016: </s><s>• </s>Vegetation establishing well, vegetation consistent with off right of way. Good establishment of willow, aspen and shrubs. Bare patches are no longer evident, issues resolved. Vegetation issues noted in 2012 and 2013 are resolved. <s>• </s>One patch of perennial sow thistle identified at KP 11+600. • <s>July 13, 2016 - herbicide application conducted (spot </s>spraying) to control perennial sow thistle at KP 11+600. • <s>August 14, 2016: </s><s>• </s>No noxious weeds observed.  <s>• </s>Canada thistle no longer present on ROW, issue resolved. <s>• </s>Although still present, perennial sow thistle aerial extent had been greatly reduced from approximately 800 m in 2014 to one patch at KP 11+600 in 2016.",,,
SE 22-67-7,Tributary to Bald Mountain Creek (WC5),None.,KP 11+600 Removed silt fencing.,• <s>No concerns noted. </s>,"• <s>June 1, 2015: </s><s>• </s>Creek banks at WC5 are stable and in good condition at time of assessment. <s>• </s>Bank erosion has occurred downstream (west), off ROW between ROW and road culvert, likely during spring runoff.","• <s>June 22, 2016 – Unnamed Tributary to Bald </s>Mountain Creek – banks are stable and well vegetated. Minimal flow is observed at this time. Previously reported erosion is establishing good vegetation, minimal depression, consistent with adjacent land use. Issue resolved.",,,
NE 15-67-7,Treed,None.,,"• <s>June 14, 2014: </s><s>• </s>Moderate vegetation influenced by excessive woody debris along ditch line KP 11+700. •  ~90% vegetation cover, with some thinner areas observed. Good establishment of willows and deciduous trees. - perennial sow thistle noted <s>• </s>Cross drains functioning well with vegetation establishing. At South end of tract cross drains exhibiting flow.  <s>• </s>KP 12+200, Ponding water on ditch line and East side of ROW. Erosion control material evident on bottom of drainage. • <s>June 25, 2014 – intermittent herbicide application conducted </s>between KP 11+700 and 12+450 to control Canada thistle and perennial sow thistle. • <s>July 22, 2014: </s><s>• </s>Previously sprayed herbicide applied intermittently throughout this tract appears successful. Broad leafed species showing signs of health degradation in the form of wilting and discoloration. Grasses mainly unaffected. • perennial sow thistle identified at KP 12+250. • <s>July 29, 2014 – Perennial sow thistle at KP 12+250 was </s>controlled mechanically.","• <s>June 1, 2015: </s>• 90% vegetation establishment compared to off-ROW. • Intermittent bare patches of soil present along ROW. <s>• </s>Cross drains are functional and well vegetated. <s>• </s>No noxious weeds observed within tract during assessment. • <s>September 21, 2015 – Removed lathe from ROW left from </s>adjacent work earlier in 2015.","• <s>June 22, 2016: </s><s>• </s>Vegetation establishing well, vegetation consistent with off ROW. Good establishment of willow, aspen, shrubs, grasses and American vetch. Vegetation issue noted in 2014 at KP 11+700 and intermittent bare and reduced vegetation patches noted in 2014 and 2015 are no longer evident, issues resolved. <s>• </s>Ponding water and erosion noted in 2014 at KP 12+200 are no longer evident, issues resolved. <s>• </s>One patch of perennial sow thistle identified at KP 12+275 • <s>July 13, 2016 – herbicide application conducted (spot </s>spraying) to control perennial sow thistle at KP 12+275. • <s>August 14, 2016: </s><s>• </s>Perennial sow thistle patches were observed from KP 12+350 to 12+450. Herbicide applied to control. <s>• </s>Canada thistle no longer present, issue resolved. <s>• </s>Although still present, perennial sow thistle extent has been reduced from approximately 750 m in 2014 to 100 m in 2016.",,,
NE 15-67-7,Drainage (D1),None.,KP 12+100 Removed silt fencing.,"• <s>June 14, 2014 – Unnamed Creek minor slumping, along </s>East and West side of ditch line on Left bank South side of Creek, monitor.",• <s>No issues noted. </s>,"• <s>June 13, 2016 – Drainage is well vegetated, no </s>issues noted, slumping noted in 2014 has stabilized and has not hindered the recovery of the ROW, issue resolved.",,,
SE 15-67-7,Treed,None.,,"• <s>June 14, 2014: </s><s>• </s>Perennial sow thistle noted on North end of Tract  <s>• </s>Cross drains functioning well with vegetation establishing. <s>• </s>Vegetation at 90% compared to off ROW.  • <s>June 25, 2014 – intermittent herbicide application conducted </s>between KP 12+450 and 13+000 to control Canada thistle and perennial sow thistle. • <s>July 22, 2014: </s><s>• </s>Previously sprayed herbicide applied intermittently throughout this tract appears successful. Broad leafed species showing signs of health degradation in the form of wilting and discoloration.  <s>• </s>Perennial sow thistle identified at KP 12+575 on ditchline, not previously sprayed. • <s>July 29, 2014 – Perennial Sow Thistle at KP 12+575 was </s>controlled mechanically. • <s>September 18, 2014 – intermittent herbicide application </s>conducted to control Canada thistle.","• <s>June 2, 2015: </s>• 90% vegetation establishment compared to off-ROW control. <s>• </s>Cross drains are functioning and well vegetated. <s>• </s>No Noxious weeds observed within tract during assessment. • <s>September 21, 2015 – Removed lathe from ROW left from </s>adjacent work earlier in 2015.","• <s>June 22, 2016: </s><s>• </s>Vegetation establishing well, vegetation consistent with off ROW. Good establishment of American vetch, grasses, willows and shrubs. <s>• </s>Slopes are well vegetated and stable; no erosion issues. • <s>August 14, 2016: </s><s>• </s>No noxious weeds observed. <s>• </s>Perennial sow thistle and Canada thistle are no longer present, issues resolved.",,,
SW 14-67-7,Treed,None.,,"• <s>June 14, 2014: </s><s>• </s>~90% vegetation established along ROW, compared to off ROW control – establishing willow species present across entire ROW within portions of tract- cross drains functioning well and are well vegetated. <s>• </s>On sections of this ¼, an excessive amount of woody debris along spoil side of ROW appears to be impacting vegetation establishment. There has been an improvement since 2013 and this should be monitored in 2015","• <s>June 2, 2015: </s>• 90% vegetation establishment compared to off-ROW control. <s>• </s>Cross drains are functioning and well vegetated.  <s>• </s>No noxious weeds observed within tract during assessment. • <s>September 21, 2015 – Removed lathe from ROW left from </s>adjacent work earlier in 2015.","• <s>June 22, 2016: </s><s>• </s>Vegetation establishing well, vegetation consistent with off ROW. Good establishment of grasses, clover, willows, aspen and shrubs. <s>• </s>Reduced vegetation associated with woody debris along spoil side noted in 2014 is no longer evident, issue resolved. <s>• </s>Recent NGTL pipeline construction has disturbed the majority of the east portion of the right of way. This disturbed area will be monitored as a part of that pipeline’s PCM program. <s>• </s>Slopes are well vegetated and stable; no erosion issues. • <s>August 14, 2016 – No noxious weeds were </s>observed.",,,
