Legal Location,Land Use,2012 PCMP Recommendation(s),2013 PCRM Assessment and Work Completed,2014 PCRM Assessment and Work Completed,2014 Recommendations,VEC,GIS,Topic
NE 2-68-7 W6,Treed,None.,,"June 12, 2014  Vegetation establishment 90–95% comparable to off-ROW for majority of tract - excessive Horsetail dominance on ditchline compared with on ROW.  Areas of sparse vegetation cover (60–65%) comparable to off-ROW control. Continue to monitor later in 2014.  No issues with contouring, erosion or subsidence in tract. June 24, 2014  Approximately 0.101 ha was sprayed between KP 4+875 and 5+600 with herbicide to control Canada thistle and perennial sow thistle. July 22, 2014  KP 5+065 and KP 5+550 – small areas along ditchline missed with herbicide application consisting of Canada thistle and perennial sow thistle  Broadleaf vegetation in areas of herbicide application exhibit significant wilting, thorough effects in areas treated. Grasses do not indicate stressing. July 29, 2014  Previously identified Canada thistle at KP 5+065, 5+200, and 5+550 were controlled by weed whacking. September 18, 2014  Approximately 0.05 ha was spot sprayed with herbicide to control Canada thistle. ",Monitor in 2015,,,
SE 2-68-7 W6,Treed,None.,,"June 12, 2014  Vegetation establishment 80–85% comparable to off-ROW control with excessive Horsetail dominance  Several sections along ROW with woody debris present. Good vegetation establishment proliferating around areas. No issues with contouring, erosion or subsidence at time in tract. June 24, 2014  Approximately 0.053 ha was sprayed between KP 5+600 and 6+150 with herbicide to control Canada thistle and perennial sow thistle. July 22, 2014  Broadleaf vegetation in areas of herbicide application exhibit significant wilting, thorough effects in areas treated. Grasses do not indicate stressing.",Monitor in 2015,,,
SW 2-68-7 W6,Treed,None.,,"June 12, 2014  90–100% vegetation cover to off-ROW. Willows re-establishing well on ROW 1m – 1.5 m tall. No issues with subsidence or erosion in this ¼. June 24, 2014  Approximately 0.04 ha was sprayed between KP 6+150 and 6+675 with herbicide to control Canada thistle and perennial sow thistle. July 22, 2014  KP 6+480 - a small patch of perennial sow thistle exists along ditchline, not identified at time of herbicide application  - broadleaf vegetation in areas of herbicide application exhibit significant wilting, thorough effects in areas treated. Grasses do not indicate stressing. July 29, 2014  Perennial sow thistle identified at KP 6+300, controlled by weed whacking ",Monitor in 2015,,,
NW 35-67-7 W6,Treed,"Monitor vegetation growth in 2013 and, if warranted, redistribute woody debris.",,"June 12, 2014  90–100% vegetation cover compared with off-ROW control.  Some small areas of moderate vegetation on ditchline – 70% vegetation cover. Continue to monitor.  Poor vegetation establishment (woody debris) in previous assessments are revegetating but are still a little behind other areas of ROW.  KP 6+900, Erosion rill (50 m X 1 m X 0.3 m) runs along east side of ditchline for about 40 m before it crosses ditchline and pools on spoil side before entering the bar ditch of the paralleling road. Recommend re-contouring and installing cross drain to drain water into existing bar ditch paralleling road on west side of ROW.  KP 6+930, isolated patch of perennial sow thistle about 30–40 plants in a 5 m X 15 m area on ditchline, 10–15 cm tall. Recommend spot spraying with chemical herbicide.  KP 7+110, new foreign pipeline recently installed crossing Bald Mountain line. Area of crossing is in need of some clean up by foreign company. Ramped crossing is still in place and there is significant subsidence above NGTL line about 30–40cm deep and water has pooled in the subsidence.  Cross drains on south side of Weyerhaeuser road are functioning well. June 24, 2014  Approximately 0.328 ha was sprayed between KP 6+675 and 7+475 with herbicide to control Canada thistle and perennial sow thistle. July 13, 2014  Straw waddle erosion control material was added to previously noted erosion in tract at KP 6+900 to KP 6+950. Deep rivets from erosion were also filled in with soil and re-contoured appropriately. July 22, 2014  KP 6+850, 6+920, 7+290, and 7+360 - small patches of perennial sow thistle exist, not identified at time of herbicide application.  Broadleaf vegetation in areas of herbicide application exhibit significant wilting, thorough effects in areas treated. Grasses do not indicate stressing.  KP 7+120 – recent foreign pipeline crossing activity – crossing mats remain at point of crossing intersection, evidence of significant slumping over NGTL pipeline, partially beneath crossing mats. Elevated spoil pile indicates possible excavation area, NGTL pipeline identification sign remains laying upon spoil pile. A considerable amount of perennial sow thistle exists in the surrounding area. July 29, 2014  Previously identified perennial sow thistle at 6+850, 6+920, 7+290 and 7+360 was controlled by weed whacking. September 18, 2014  Approximately 0.02 ha was spot sprayed with herbicide to control Canada thistle. ",Monitor in 2015,,,
SW 35-67-7 W6,Treed,"Monitor vegetation growth in 2013 and, if warranted, redistribute woody debris.",,"June 13, 2014  90–100% vegetation cover to off-ROW. – Areas of woody debris mentioned in previous assessments has moderate vegetation growth compared with off-ROW control, however vegetation is establishing well. – No weeds noted at time of assessment.  KP 7+600, depression (4 m X 3 m X 0.4–0.5 m) off ditchline causing water to pool.  KP 8+000, minor erosion rill near cross drain, however rill is vegetating. Continue to monitor.  KP 8+010, ponding on both sides of ditchline at cross drain. Cross drain needs to be dug down and possibly extended to bar ditch on parallel gravel road.",Monitor in 2015,,,
,Tributary to Bald Mountain Creek (WC2),None.,KP 7+800 Removed silt fencing.,"June 13, 2014  Good vegetation on left and right banks.  Water is ponding on ditchline. There is also ponding up stream due to beaver dams.  There is some erosion coming off the parallel road into the watercourse. Not on ROW ",Monitor in 2015,,,
SE 34-67-7 W6,Treed,None.,,"June 13, 2014  90–100% vegetation cover compared with off-ROW control. Willows are growing well on ROW. 1–1.5m tall.  KP 8+275, Subsidence on spoil side of roach, (35 m X 0.5 m X 0.2–0.3 m) minor issue that is not affecting recovery of ROW at this time, continue to monitor.  No weeds noted at time of assessment. ",Monitor in 2015,,,
NE 27-67-7 W6,Treed,None.,,"June 13, 2014  Subsidence along west side of ditchline 15 m X 1.5 m X 25–30 cm11U 0373630 6078293, not affecting recovery of ROW; monitor.  Multiple drainage ditches functioning effectively throughout tract.  Scentless chamomile was identified at South end of tract at two locations (11U 0373423 6077872) ~5 m X 20 m on work side of ROW; one garbage bag full of the weed was picked and bagged. June 24, 2014  Approximately 0.1860 ha was sprayed between KP 8+250 and 9+175 with herbicide to control Canada thistle, perennial sow thistle, and scentless chamomile. July 22, 2014  Previously sprayed herbicide applied intermittently throughout this tract appears successful. Broadleaf species showing signs of health degradation in the form of wilting and discolouration. Grasses mainly unaffected. - scentless chamomile previously sprayed at KP 8+900 showing signs of health degradation in the form of wilting and discolouration.  Scentless chamomile at KP 8+800 to 8+820. Previous remedial efforts did not achieve desired control. Spraying or hand picking is recommended. July 28, 2014  Scentless chamomile was handpicked and bagged for disposal in an area previously handpicked, but not previously sprayed. Approximately 1.5 large garbage bags were picked from location.  Approximately 0.21 ha was sprayed between KP 8+730 and 8+830 with herbicide to control scentless chamomile.",Monitor in 2015,,,
NE 27-67-7 W6,Tributary to Bald Mountain Creek (WC3),None.,KP 8+400 Removed silt fencing.,"June 13, 2014  Erosion material is exposed. Good vegetation establishing on banks, 95% compared with off-ROW. Some ponding water could be attributed to beaver activity and/or culvert blockage 11U 0373608 6078259. No erosion or subsidence noted.",Monitor in 2015,,,
SE 27-67-7 W6,Treed,Monitor vegetation growth in 2013.,,"June 14, 2014 Intermittent drain, ponding water. No flow, good vegetation throughout drainage.   Majority of ROW consists of 90–95% vegetation of control. Woody debris is influencing some thinner vegetated patches along ROW, ~60% vegetation cover compared with control.  Cross drains functioning well and vegetation establishing. June 24, 2014  Approximately 0.0485 ha was sprayed between KP 9+175 and 10+000 with herbicide to control Canada thistle, perennial sow thistle, and scentless chamomile. July 22, 2014  Previously sprayed herbicide applied intermittently throughout this tract appears successful. Broadleaf species in areas sprayed showing signs of health degradation in the form of wilting and discolouration. Grasses mainly unaffected. September 18, 2014  Approximately 0.02 ha was spot sprayed to control Canada thistle. ",Monitor in 2015,,,
SE 27-67-7 W6,Tributary to Bald Mountain Creek (WC4),None.,"KP 9+600 Minor subsidence – not a concern at this time, monitor in 2014. KP 9+600 Removed silt fencing.","June 14, 2014 Intermittent watercourse vegetation establishing 60% vegetation as opposed to off-ROW. Grasses  establishing. 11U 0373346 6077047. Appearance of slumping north side right bank ditchline shows some cracking, 10 m X 2 m 25–30 cm. - Synthetic erosion material is exposed.  Erosion influenced by area of thin vegetation toward east boundary on work side of ditchline 30 m X 1 m X 25–30 cm 11U 0373362 6076863.",Monitor in 2015,,,
NE 22-67-7 W6,Treed,Monitor vegetation growth in 2013.,KP 10+500 – 11+000 Sparse vegetation – Appears to be an area that was disturbed during final cleanup. Vegetation has improved from previous site visit – continue to monitor.,"June 14, 2014  Vegetation on north half of tract 80–90% compared with control off-ROW.  KP 10+090, woody debris in vicinity of workspace has reduced vegetation cover, monitor in 2015.  Cross drains functioning well and vegetation establishing.  10+550 to 10+850 (southern half) remains as previously assessed ~50–60% as opposed to off-ROW consisting mainly of clover and weeds. Minor erosion rills across ROW in southern portion in thinly vegetated areas. Monitor in 2015. July 12, 2014  Straw waddle erosion-control material was implemented in rill erosion on low-angle hill slope. Rill erosion was filled in with soil to an extent to help prevent further erosion. September 18, 2014  Approximately 0.02 ha was spot sprayed to control Canada thistle ",Monitor in 2015,,,
SE 22-67-7 W6,Treed,Monitor vegetation growth in 2013.,KP 10+500 – 11+000 Sparse vegetation – appears to be an area that was disturbed during final cleanup. Vegetation has improved from previous site visit – continue to monitor.,"June 14, 2014  Vegetation comparable to off-ROW, ~90% throughout tract.  Cross drains show some standing water, but are functioning and vegetation is establishing.  Canada thistle noted; isolated small patch KP 11+490. June 25, 2014  Approximately 0.02 ha was sprayed between KP 10+900 and 11+700 with herbicide to control Canada thistle and perennial sow thistle. July 22, 2014  Previously sprayed herbicide applied intermittently throughout this tract appears successful. Broadleaf species showing signs of health degradation in the form of wilting and discolouration. Grasses mainly unaffected. July 29, 2014  Previously identified Canada thistle at KP 11+490 was controlled by weed whacking. September 18, 2014  Approximately 0.02 ha was spot sprayed to control Canada thistle. ",Monitor in 2015,,,
SE 22-67-7 W6,Tributary to Bald Mountain Creek (WC5),None.,KP 11+600 Removed silt fencing.,No concerns noted.,Monitor in 2015,,,
NE 15-67-7 W6,Treed,None.,,"June 14, 2014  Moderate vegetation influenced by excessive woody debris along ditchline KP 11+700 11U 0373501 6075702  ~90% vegetation cover, with some thinner areas observed. Good establishment of willows and deciduous trees. - perennial sow thistle noted  Cross drains functioning well with vegetation establishing. At south end of tract cross drains exhibiting flow. June 25, 2014  Approximately 0.17 ha was sprayed between KP 11+700 and 12+450 with herbicide to control Canada thistle and perennial sow thistle. July 22, 2014  Previously sprayed herbicide applied intermittently throughout this tract appears successful. Broadleaf species showing signs of health degradation in the form of wilting and discolouration. Grasses mainly unaffected.  Perennial sow thistle identified at KP 12+250. Has not been previously sprayed. July 29, 2014  Previously identified perennial sow thistle at KP 12+250 was controlled by weed whacking. ",Monitor in 2015,,,
NE 15-67-7 W6,Drainage (D1),None.,KP 12+100 Removed silt fencing.,"June 14, 2014  Unnamed Creek minor slumping ~10 m X 5 m X 25 cm along east and west side of ditchline on left bank south side of Creek 11U 0373498 6075074.",Monitor in 2015,,,
SE 15-67-7 W6,Treed,None.,,"June 14, 2014  Perennial sow thistle noted on north end of tract.  Cross drains functioning well with vegetation establishing.  Vegetation at 90% compared with off-ROW. June 25, 2014  Approximately 0.27 ha was sprayed between KP 12+450 and 13+000 with herbicide to control Canada thistle and perennial sow thistle. July 22, 2014  Previously sprayed herbicide applied intermittently throughout this tract appears successful. Broadleaf species showing signs of health degradation in the form of wilting and discolouration.  Perennial sow thistle identified at KP 12+575 on ditchline. Has not been previously sprayed. July 29, 2014  Perennial sow thistle at KP 12+575 was controlled by weed whacking. September 18, 2014  Approximately 0.02 ha was spot sprayed to control Canada thistle. ",Monitor in 2015,,,
SW 14-67-7 W6,Treed,None.,,"June 14, 2014  ~90% vegetation established along ROW, compared with off-ROW control- establishing willow species establishing across entire ROW in portions of tract- cross drains functioning well and are well-vegetated.  On sections of this quarter, an excessive amount of woody debris along spoil side of ROW appears to be affecting vegetation establishment. There has been improvement since 2013 and this should be monitored in 2015.",Monitor in 2015,,,
NW 11-67-7 W6,Treed,Monitor vegetation growth in 2013.,"KP 13+150 Very good regeneration of woody species, infilling on ditchline.","June 14, 2014  90–95% vegetation established, good establishment of willow and deciduous species across ROW  Cross drains and water bars / diversion berms functioning well, vegetated well  Canada thistle identified – 5 m X 5 m patch @ 11U 0373612. Other non-noxious weeds were noted on this quarter in comparable densities to off-ROW, no work required on these weeds. June 25, 2014  Approximately 0.01 ha was sprayed between KP 13+250 and 14+000 with herbicide to control Canada thistle and perennial sow thistle. July 22, 2014  Previously sprayed herbicide applied intermittently throughout this tract appears successful. Broadleaf species showing signs of health degradation in the form of wilting and discolouration. Grasses mainly unaffected.  Perennial sow thistle identified at KP 13+500 and 13+660 on ditchline and work side. Has not been previously sprayed. July 29, 2014  Previously identified perennial sow thistle at KP 13+500 and 13+660 was controlled by weed whacking. September 18, 2014  Approximately 0.05 ha was spot sprayed to control Canada thistle. ",Monitor in 2015,,,
,Tributary to Bald Mountain Creek (WC6),None.,KP 13+900 and KP 14+000 Removed silt fencing.,"June 14, 2014  Banks establishing vegetation well, banks stable at this time, watercourse exhibiting flow at this time. North bank exhibits emerging water along ditchline mid-way up bank. Steel anchor pins removed from straw waddle along spoil side of ROW.",Monitor in 2015,,,
SW 11-67-7 W6,Treed,Monitor vegetation growth in 2013.,,"June 15, 2014  North end of tract 95% compared with off-ROW control. Deciduous species establishing well along ROW. South portion of tract exhibiting moderate vegetation establishment; might be attributed to poor soil conditions or woody debris. Cross drains and water bars/diversion berms functioning well with vegetation establishing.  Perennial sow thistle noted. June 25, 2014  Approximately 0.03 ha was sprayed between KP 14+000 and 14+875 with herbicide to control Canada thistle and perennial sow thistle. July 22, 2014  Previously sprayed herbicide applied intermittently throughout this tract appears successful. Broadleaf species showing signs of health degradation in the form of wilting and discolouration. Grasses mainly unaffected.",Monitor in 2015,,,
SW 11-67-7 W6,Drainage (D2),None.,KP 14+700 Removed silt fencing.,"June 15, 2014  Workside evidently lower than off-ROW and ditchline is low compared with adjacent culvert off-ROW. Silt fence in place to control erosion. Minimal flow noted and vegetation establishment is 70% compared with off-ROW. Evidence of slumping on south/left bank 10 m X 3 m X 30–35 cm 11U 0373756 6072005.",Monitor in 2015,,,
NW 2-67-7 W6,Treed,Monitor vegetation growth in 2013.,,"June 15, 2014  Cross drains and water bars/diversion berms functioning well with vegetation establishing. 90% vegetation establishment as opposed to off-ROW, consisting of some thinner vegetated patches along ROW more apparent on ditchline. Deciduous species establishing well along ROW. September 18, 2014  Approximately 0.02 ha was spot sprayed to control Canada thistle.  Wapiti MS recently constructed – monitor in 2015. ",Monitor in 2015,,,
SW 2-67-7 W6,Treed,Monitor vegetation growth in 2013.,KP 16+425 Erosion gully running across ditchline – Not affecting land use at this time. Monitor in 2014.,"June 15, 2014  90–95% vegetation establishment compared with off-ROW. Deciduous species establishing well along southern half of tract.  Cross-drainage across ROW at 16+400 exhibiting signs of possible past erosion (20 cm X 15–20 cm depth) and is relatively well-vegetated at this time; continue to monitor.",Monitor in 2015,,,
,Tributary to Bald Mountain Creek (WC8),None.,KP 15+900 Removed silt fencing.,"June 15, 2014  Tributary to Bald Mtn. Creek. North side of tributary thin vegetation existing 70% as opposed to off-ROW. Banks well vegetated and appear stable, some minor settlement or slumping in south bank. Silt fence on north side of tributary could be removed. Good establishment of willows in coir banks. Portion of drainage lacks cobble directly over and parallel to ditchline. Might be an issue due to lack of substrate – continue to monitor. One bull thistle noted and removed.  Diversion berm on south side of tributary, top of slope shows signs of erosion in drainage extending across ROW 20–30 cm X 20 cm deep. Erosion rills noted above the diversion berm initiated on spoil side of ROW in thinner vegetated area. Remediation: fill in with hand tools and implement soft waddles 11U 0373608 6070842. July 11, 2014 Installed 12 straw waddle erosion prevention measures at KP 15+800, two on north bank of tributary and  10 on south bank. Re-contoured eroded area and filled with material on ROW. Removed 15 m of silt fence and posts from north bank.",Monitor in 2015,,,
NE 34-66-7 W6,Treed,"Monitor vegetation growth in 2013 and, if warranted, redistribute woody debris. Reseed at KP 17.10 and monitor in 2013. Monitor weeds in 2013 and, if warranted, implement weed control measures.",,"June 15, 2014  90–95% vegetation established with a few areas of reduced cover along spoil side of ROW.  20 m X 10 m – relatively bare area, attributed to excessive woody debris @ 11U 0373666 6069794.  Erosion noted in cross drain – 15 m X 30 cm x 30 cm @ KP 17+076 – recommend filling in erosion and installing soft waddle breakers.  Canada thistle identified at the south end of this tract in several locations. June 25, 2014  Approximately 0.6 ha was sprayed between KP 16+850 and 17+400 with herbicide to control Canada thistle and perennial sow thistle. July 23, 2014  Broadleaf vegetation in areas of herbicide application exhibit significant wilting, thorough effects in areas treated. Grasses do not indicate stressing. July 11, 2014 Installed four straw waddle erosion-prevention breakers at KP 17+076. Re-contoured eroded area and filled  with material on ROW.",Monitor in 2015,,,
SE 34-66-7 W6,Treed,"Monitor vegetation growth in 2013 and, if warranted, redistribute woody debris. Monitor weeds in 2013 and, if warranted, implement weed control measures.",,"June 16, 2014  North portion of quarter exhibits 75–80% vegetation establishment compared with off-ROW, Areas showing improved vegetation along workside. Deciduous species establishing well along ROW throughout entire tract. Cross drains and water bars/diversion berms functioning well with vegetation establishing.  No scentless chamomile observed, located on this quarter in 2013. September 19, 2014  Approximately 0.02 ha was sprayed to control Canada thistle. ",Monitor in 2015,,,
NE 27-66-7 W6,Treed,Monitor vegetation growth in 2013.,,"June 16, 2014  Scentless chamomile identified KP 18+675, plants picked and bagged.  Entire tract exhibits vegetation density of ~90% compared with off-ROW. Deciduous species establishing well along ROW throughout entire tract. Cross drains and water bars/diversion berms functioning well with vegetation establishing. June 25, 2014  Approximately 0.07 ha was sprayed between KP 18+300 and 19+050 with herbicide to control Canada thistle, perennial sow thistle and scentless chamomile. July 23, 2014  Broadleaf vegetation in areas of herbicide application exhibit significant wilting, thorough effects in areas treated. Grasses do not indicate stressing.",Monitor in 2015,,,
SE 27-66-7 W6,Treed,"Monitor vegetation growth in 2013. Install erosion control measures on hillside, reseed and monitor at KP 19.71 in 2013.","KP 19+500 Minor erosion across centreline; monitor. KP 19+700 – 19+800 Good infilling of native species, lots of shrubs and forbs on ROW. KP 19+500 Increased erosion since the spring assessment was completed. Filled in rill erosion and one gully by hand and then install (Bio 4) erosion blankets and waddles.","June 16, 2014  Entire tract exhibits vegetation density of ~90% compared with off-ROW Grasses and Deciduous species establishing well along ROW. Cross drains and water bars/diversion berms functioning well with vegetation establishing.  KP 19+490, ephemeral draw, previously repaired erosion issue, additional erosion has occurred. Recommended repair: pull back erosion material, re-contour drainage bed, replace erosion material and extend it farther to the west (edge of ROW) with more straw waddle breakers installed. June 25, 2014  Approximately 0.15 ha was sprayed between KP 19+050 and 19+950 with herbicide to control Canada thistle and perennial sow thistle. July 13, 2014  Erosion repair at KP 19+490. Removed non-functioning erosion control material from bed of cross drain. Four straw waddle erosion control breakers installed in cross drain. Soil placed to fill and re-contour scoured and eroded bed. West side of ROW was contoured and filled with soil and three straw waddle breakers were installed. July 23, 2014  Broadleaf vegetation in areas of herbicide application exhibit significant wilting, thorough effects in areas treated. Grasses do not indicate stressing.",Monitor in 2015,,,
